"school_id","panel_year","school_city","school_state","school_district","nces_id","locale","self_reported_grades_pre_k","self_reported_grades_kindergarten","self_reported_grades_1st","self_reported_grades_2nd","self_reported_grades_3rd","self_reported_grades_4th","self_reported_grades_5th","self_reported_grades_6th","self_reported_grades_7th","self_reported_grades_8th","self_reported_grades_9th","self_reported_grades_10th","self_reported_grades_11th","self_reported_grades_12th","self_reported_race_aian","self_reported_race_asian","self_reported_race_hispanic","self_reported_race_black","self_reported_race_white","self_reported_race_multiple","self_reported_race_nhpi","self_reported_frpl","self_reported_total_enrollment","self_reported_swd","self_reported_ell","grades_elementary","grades_middle","grades_high","school_descriptor_sws","school_descriptor","school_descriptor_alt2019","title_i_schoolwide","term_2021","leader_tenure","leaps_high_expectations","leaps_whole_child","leaps_rigorous_learning","leaps_relevance","leaps_affirmation","leaps_social_consciousness","leaps_connection","leaps_customization","leaps_self_direction","leaps_anytime_anywhere","self_reported_ela","self_reported_math","leaps_rank_high_expectations","leaps_rank_whole_child","leaps_rank_rigorous_learning","leaps_rank_relevance","leaps_rank_affirmation","leaps_rank_social_consciousness","leaps_rank_connection","leaps_rank_customization","leaps_rank_self_direction","leaps_rank_anytime_anywhere","leadership_diversity","teaching_diversity","leader1_race","leader1_gender","leaps_interest"
23,2019,"Booneville","Mississippi","Booneville School District","280082001024","Rural",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.00273972602739726,0.010958904109589,0.0164383561643836,0.194520547945205,0.756164383561644,0.0191780821917808,0,0.498630136986301,386,11.4,0,0,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2019,"Boston","Massachusetts","Boston Day and Evening Academy Charter","250004901245","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0099009900990099,0.0198019801980198,0.400990099009901,0.482673267326733,0.051980198019802,0.0321782178217822,0.00247524752475248,0,NA,NA,NA,0,0,1,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2019,"New York","New York","New York City Geographic District #8","360008506258","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0065359477124183,0.0065359477124183,0.588235294117647,0.366013071895425,0.0261437908496732,0.0065359477124183,0,0.882352941176471,NA,NA,NA,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2019,"Portland","Maine","Portland Public Schools","230993000603","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,0.0423280423280423,0.0476190476190476,0.206349206349206,0.685185185185185,0.0185185185185185,NA,0.457671957671958,386,14.5,15,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2019,"Center Line","Michigan","Center Line Public Schools","260858004404","Suburban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.10124826629681,0.029126213592233,0.260748959778086,0.532593619972261,0.0748959778085992,0.0013869625520111,0.669902912621359,717,10.7,6.4,0,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2019,"Cleveland","Ohio","Cleveland Metropolitan School District","390437800440","Urban",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00740740740740741,0.948148148148148,0.0333333333333333,0.0111111111111111,0,0,337,29.1,1.2,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2019,"Charlotte","North Carolina","Charlotte-Mecklenberg Schools","370039103375","Urban",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0.00247524752475248,0.0173267326732673,0.0717821782178218,0.133663366336634,0.668316831683168,0.106435643564356,0,0.00742574257425743,292,3.8,0.7,1,1,0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2019,"Liberty","South Carolina","Pickens County School District","450333001565","Rural",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00173310225303293,0.0103986135181976,0.0779896013864818,0.0363951473136915,0.833622183708839,0.0381282495667244,0.00173310225303293,1,583,14.2,2.7,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2019,"Childersburg","Alabama","Talladega County Schools","010318001756","Rural",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0216216216216216,0.524324324324324,0.440540540540541,0.0135135135135135,0,0.810810810810811,419,7.6,0,0,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2019,"Chicago","Illinois","Chicago International Charter Schools, operated by Distinctive Schools","170993006475",NA,0,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
